year,all_marriages,all_civil,approved_civil,all_religious,coe,rc,other_christian,other_religion
2020,82959,70518,60176,12441,8158,1260,2119,904
2019,213122,173225,156114,39897,28912,4049,4793,2143
2018,227870,179752,162545,48118,35536,4958,5345,2279
2017,235910,181607,167415,54303,40051,5841,6103,2308
2016,242774,182766,165466,60008,44392,6513,6616,2487
2015,239020,176406,157243,62614,45901,7001,6937,2775
2014,247372,179344,158057,68028,49717,7598,7895,2818
2013,240854,172254,147875,68600,50226,7550,8035,2789
2012,263640,184167,156548,79473,58797,8664,9027,2985
2011,249133,174681,143296,74452,54463,8390,8844,2755
2010,243808,165680,125612,78128,57607,8622,9032,2867
2009,232443,155950,111313,76493,56236,8426,8973,2858
2008,235794,157296,106298,78498,57057,8909,9745,2787
2007,235367,156198,101158,79169,57101,8904,10351,2813
2006,239454,158350,95763,81104,57963,9263,11249,2629
2005,247805,162169,90239,85636,61155,9599,12315,2567
2004,273069,184913,85154,88156,62006,9850,13578,2722
2003,270109,183124,73784,86985,60385,9858,14188,2554
2002,255596,169210,61749,86386,58980,10044,14844,2518
2001,249227,160238,50149,88989,60878,10518,15210,2383
2000,267961,170800,45792,97161,65536,11312,17751,2562
1999,263515,162679,37709,100836,67219,12399,18690,2528
1998,267303,163072,28879,104231,69494,12615,19746,2376
1997,272536,165516,22052,107020,70310,13125,21211,2374
1996,278975,164158,15210,114817,75147,13989,23605,2076
1995,283012,155490,2496,127522,83685,15181,26622,2034
1994,291069,152113,0,138956,90703,16429,29807,2017
1993,299197,152930,0,146267,96060,17465,30804,1938
1992,311564,156967,0,154597,101883,18795,32006,1913
1991,306756,151333,0,155423,102840,19551,31069,1963
1990,331150,156875,0,174275,115328,22455,34599,1893
1989,346697,166651,0,180046,118956,23737,35551,1802
1988,348492,168897,0,179595,118423,24372,34975,1825
1987,351761,168190,0,183571,121293,25020,35589,1669
1986,347924,168255,0,179669,117804,24578,35507,1780
1985,346389,169025,0,177364,116378,25207,33938,1841
1984,349186,170506,0,178680,117506,25609,33866,1699
1983,344334,167327,0,177007,116854,25211,33252,1690
1982,342166,165089,0,177077,116978,24834,33835,1430
1981,351973,172514,0,179459,118435,26097,33439,1488
1980,370022,183395,0,186627,123400,28553,33164,1510
1979,368853,187381,0,181472,119420,28477,32007,1568
1978,368258,186239,0,182019,119970,28654,31882,1513
1977,356954,180446,0,176508,116749,28204,30008,1547
1976,358567,179330,0,179237,119569,28714,29462,1492
1975,380620,181824,0,198796,133074,32307,31845,1570
1974,384389,178710,0,205679,137767,33702,34210,0
1973,400435,184724,0,215711,143853,36267,35591,0
1972,426241,194134,0,232107,155538,39694,36875,0
1971,404737,167101,0,237636,160165,41399,36072,0
1970,415487,164119,0,251368,170146,43658,37564,0
